date,time,open,high,low,close,last_price,volume,oi
2025-09-05,2025-09-05 10:55:17.428046+05:30,24672.85,24672.85,24672.85,24672.85,24672.85,,
2025-09-05,2025-09-05 10:55:17.927842+05:30,24672.85,24672.85,24672.25,24672.25,24672.25,,
2025-09-05,2025-09-05 10:55:18.179276+05:30,24672.85,24672.85,24672.25,24672.4,24672.4,,
2025-09-05,2025-09-05 10:55:18.927855+05:30,24672.85,24672.85,24672.25,24672.65,24672.65,,
2025-09-05,2025-09-05 10:55:19.427806+05:30,24672.85,24672.85,24671.85,24671.85,24671.85,,
2025-09-05,2025-09-05 10:55:31.032200+05:30,24676.55,24676.55,24676.55,24676.55,24676.55,,
2025-09-05,2025-09-05 10:55:31.281966+05:30,24676.55,24676.55,24676.55,24676.55,24676.55,,
2025-09-05,2025-09-05 10:55:32.031983+05:30,24676.55,24678.25,24676.55,24678.25,24678.25,,
2025-09-05,2025-09-05 10:55:33.782112+05:30,24676.55,24679.65,24676.55,24679.65,24679.65,,
2025-09-05,2025-09-05 10:55:36.281896+05:30,24676.55,24679.65,24676.55,24679.3,24679.3,,
2025-09-05,2025-09-05 10:55:37.531910+05:30,24676.55,24680.05,24676.55,24680.05,24680.05,,
2025-09-05,2025-09-05 10:55:38.033287+05:30,24676.55,24680.05,24676.55,24679.4,24679.4,,
2025-09-05,2025-09-05 10:55:38.282281+05:30,24676.55,24680.05,24676.55,24679.75,24679.75,,
2025-09-05,2025-09-05 10:55:39.032054+05:30,24676.55,24680.05,24676.55,24678.7,24678.7,,
2025-09-05,2025-09-05 10:55:39.281837+05:30,24676.55,24680.05,24676.55,24678.9,24678.9,,
2025-09-05,2025-09-05 10:55:40.031825+05:30,24676.55,24680.05,24676.55,24678.95,24678.95,,
2025-09-05,2025-09-05 10:55:40.531806+05:30,24676.55,24680.05,24676.55,24678.75,24678.75,,
2025-09-05,2025-09-05 10:55:41.031852+05:30,24676.55,24680.05,24676.55,24678.7,24678.7,,
2025-09-05,2025-09-05 10:55:41.282158+05:30,24676.55,24680.05,24676.55,24677.9,24677.9,,
2025-09-05,2025-09-05 10:55:42.032056+05:30,24676.55,24680.05,24676.55,24677.35,24677.35,,
2025-09-05,2025-09-05 10:55:42.531790+05:30,24676.55,24680.05,24676.55,24677.8,24677.8,,
2025-09-05,2025-09-05 10:55:43.031903+05:30,24676.55,24680.05,24676.55,24677.0,24677.0,,
2025-09-05,2025-09-05 10:55:43.531852+05:30,24676.55,24680.05,24676.25,24676.25,24676.25,,
2025-09-05,2025-09-05 10:55:44.031964+05:30,24676.55,24680.05,24675.45,24675.45,24675.45,,
2025-09-05,2025-09-05 10:55:44.281932+05:30,24676.55,24680.05,24675.05,24675.05,24675.05,,
2025-09-05,2025-09-05 10:55:45.031914+05:30,24676.55,24680.05,24675.05,24675.1,24675.1,,
2025-09-05,2025-09-05 10:55:45.289188+05:30,24676.55,24680.05,24674.95,24674.95,24674.95,,
2025-09-05,2025-09-05 10:55:46.031762+05:30,24676.55,24680.05,24673.0,24673.0,24673.0,,
2025-09-05,2025-09-05 10:55:46.281809+05:30,24676.55,24680.05,24673.0,24674.6,24674.6,,
2025-09-05,2025-09-05 10:55:47.031845+05:30,24676.55,24680.05,24673.0,24673.4,24673.4,,
2025-09-05,2025-09-05 10:55:47.281764+05:30,24676.55,24680.05,24673.0,24673.65,24673.65,,
2025-09-05,2025-09-05 10:55:48.032469+05:30,24676.55,24680.05,24673.0,24673.25,24673.25,,
2025-09-05,2025-09-05 10:55:48.532044+05:30,24676.55,24680.05,24673.0,24673.05,24673.05,,
2025-09-05,2025-09-05 10:55:49.031809+05:30,24676.55,24680.05,24673.0,24673.5,24673.5,,
2025-09-05,2025-09-05 10:55:49.281736+05:30,24676.55,24680.05,24673.0,24673.55,24673.55,,
2025-09-05,2025-09-05 10:55:50.031865+05:30,24676.55,24680.05,24673.0,24673.15,24673.15,,
2025-09-05,2025-09-05 10:55:50.532388+05:30,24676.55,24680.05,24672.35,24672.35,24672.35,,
2025-09-05,2025-09-05 10:55:51.044673+05:30,24676.55,24680.05,24671.85,24671.85,24671.85,,
2025-09-05,2025-09-05 10:55:51.531709+05:30,24676.55,24680.05,24671.85,24672.5,24672.5,,
