ha_time,ha_color,ha_open,ha_high,ha_low,ha_close,underlying_open,underlying_high,underlying_low,underlying_close,cal1,form1,form2,named_levels,used_formula,triggered,reached_named_levels,reached_named_values,note,chosen_trigger_level,chosen_trigger_value,strike,side,symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 09:15:00+05:30,RED,24816.75,24824.7,24798.9,24814.275,24816.75,24824.7,24798.9,24814.275,-2.474999999998545,-7.778571428566855,,"{'entryA': 24816.75, 'entryB': 24832.478571428568}",form1,True,entryA,24816.750,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:16:00+05:30,RED,24815.5125,24827.05,24801.6,24811.112500000003,24815.5125,24827.05,24801.6,24811.112500000003,-4.399999999997817,-13.828571428564569,,"{'entryA': 24815.5125, 'entryB': 24840.878571428562}",form1,True,entryA,24815.513,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:17:00+05:30,RED,24813.3125,24813.3125,24790.7,24802.2125,24813.3125,24813.3125,24790.7,24802.2125,-11.099999999998545,-34.88571428570971,,"{'entryA': 24813.3125, 'entryB': 24848.19821428571}",form1,True,entryA,24813.312,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,24807.7625,24817.3,24807.7625,24811.85,24807.7625,24817.3,24807.7625,24811.85,4.087499999997817,12.846428571421711,,"{'entryA': 24807.7625, 'entryB': 24804.453571428578}",form1,True,entryA,24807.763,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24807.7625,24600.0,CE,,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,24807.7625,24817.3,24807.7625,24811.85,24807.7625,24817.3,24807.7625,24811.85,4.087499999997817,12.846428571421711,,"{'entryA': 24807.7625, 'entryB': 24804.453571428578}",form1,True,entryA,24807.763,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24807.7625,24700.0,CE,,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,24807.7625,24817.3,24807.7625,24811.85,24807.7625,24817.3,24807.7625,24811.85,4.087499999997817,12.846428571421711,,"{'entryA': 24807.7625, 'entryB': 24804.453571428578}",form1,True,entryA,24807.763,,entryA,24807.7625,24800.0,CE,NIFTY2590924800CE,2025-09-05 09:19:00+05:30,109.4,2025-09-05 09:22:00+05:30,102.8,STOP,-1.0,-50.0
2025-09-05 09:18:00+05:30,GREEN,24807.7625,24817.3,24807.7625,24811.85,24807.7625,24817.3,24807.7625,24811.85,4.087499999997817,12.846428571421711,,"{'entryA': 24807.7625, 'entryB': 24804.453571428578}",form1,True,entryA,24807.763,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24807.7625,24900.0,CE,,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,24807.7625,24817.3,24807.7625,24811.85,24807.7625,24817.3,24807.7625,24811.85,4.087499999997817,12.846428571421711,,"{'entryA': 24807.7625, 'entryB': 24804.453571428578}",form1,True,entryA,24807.763,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24807.7625,25000.0,CE,,,,,,,,
2025-09-05 09:19:00+05:30,GREEN,24809.80625,24828.35,24809.80625,24819.5125,24809.80625,24828.35,24809.80625,24819.5125,9.706249999999272,30.505357142854855,,"{'entryA': 24809.80625, 'entryB': 24797.844642857144}",form1,True,entryA,24809.806,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24809.80625,24600.0,CE,,,,,,,,
2025-09-05 09:19:00+05:30,GREEN,24809.80625,24828.35,24809.80625,24819.5125,24809.80625,24828.35,24809.80625,24819.5125,9.706249999999272,30.505357142854855,,"{'entryA': 24809.80625, 'entryB': 24797.844642857144}",form1,True,entryA,24809.806,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24809.80625,24700.0,CE,,,,,,,,
