time,open,high,low,close,ha_open,ha_high,ha_low,ha_close,ha_color,candle_color
2025-09-04 09:15:00+05:30,370.05,374.0,306.0,318.4,344.225,374.0,306.0,342.11249999999995,RED,RED
2025-09-04 09:16:00+05:30,318.4,331.55,314.45,317.7,343.16875,343.16875,314.45,320.52500000000003,RED,RED
2025-09-04 09:17:00+05:30,317.7,324.1,309.9,313.5,331.846875,331.846875,309.9,316.29999999999995,RED,RED
2025-09-04 09:18:00+05:30,313.5,322.5,306.15,322.5,324.07343749999995,324.07343749999995,306.15,316.1625,RED,GREEN
2025-09-04 09:19:00+05:30,322.5,323.85,312.4,313.95,320.11796875,323.85,312.4,318.175,RED,RED
2025-09-04 09:20:00+05:30,313.95,314.95,303.7,311.55,319.146484375,319.146484375,303.7,311.03749999999997,RED,RED
2025-09-04 09:21:00+05:30,311.55,311.75,298.9,301.1,315.09199218749995,315.09199218749995,298.9,305.825,RED,RED
2025-09-04 09:22:00+05:30,301.1,321.5,300.55,319.45,310.45849609375,321.5,300.55,310.65000000000003,GREEN,GREEN
2025-09-04 09:23:00+05:30,319.45,328.9,314.35,320.25,310.55424804687505,328.9,310.55424804687505,320.73749999999995,GREEN,GREEN
2025-09-04 09:24:00+05:30,320.25,326.85,319.1,321.05,315.6458740234375,326.85,315.6458740234375,321.8125,GREEN,GREEN
2025-09-04 09:25:00+05:30,321.45,323.95,310.4,316.7,318.72918701171875,323.95,310.4,318.125,RED,RED
2025-09-04 09:26:00+05:30,316.2,327.0,311.0,323.7,318.4270935058594,327.0,311.0,319.475,GREEN,GREEN
2025-09-04 09:27:00+05:30,323.7,330.85,320.8,328.95,318.9510467529297,330.85,318.9510467529297,326.075,GREEN,GREEN
2025-09-04 09:28:00+05:30,328.95,341.7,327.6,341.6,322.51302337646484,341.7,322.51302337646484,334.9625,GREEN,GREEN
2025-09-04 09:29:00+05:30,341.6,346.75,339.25,343.5,328.7377616882324,346.75,328.7377616882324,342.775,GREEN,GREEN
2025-09-04 09:30:00+05:30,344.25,349.95,344.25,349.7,335.75638084411617,349.95,335.75638084411617,347.0375,GREEN,GREEN
2025-09-04 09:31:00+05:30,349.65,359.1,349.5,358.3,341.3969404220581,359.1,341.3969404220581,354.1375,GREEN,GREEN
2025-09-04 09:32:00+05:30,357.55,360.6,353.25,359.6,347.76722021102904,360.6,347.76722021102904,357.75,GREEN,GREEN
2025-09-04 09:33:00+05:30,358.2,363.1,357.0,362.25,352.75861010551455,363.1,352.75861010551455,360.1375,GREEN,GREEN
2025-09-04 09:34:00+05:30,362.25,381.0,360.85,378.55,356.44805505275724,381.0,356.44805505275724,370.66249999999997,GREEN,GREEN
2025-09-04 09:35:00+05:30,378.55,380.15,369.9,374.15,363.55527752637863,380.15,363.55527752637863,375.6875,GREEN,RED
2025-09-04 09:36:00+05:30,374.15,374.15,358.95,366.15,369.6213887631893,374.15,358.95,368.35,RED,RED
2025-09-04 09:37:00+05:30,366.15,366.15,357.15,361.6,368.98569438159467,368.98569438159467,357.15,362.76249999999993,RED,RED
2025-09-04 09:38:00+05:30,361.6,362.65,353.4,355.25,365.87409719079733,365.87409719079733,353.4,358.225,RED,RED
2025-09-04 09:39:00+05:30,355.25,355.95,338.6,347.2,362.0495485953987,362.0495485953987,338.6,349.25000000000006,RED,RED
2025-09-04 09:40:00+05:30,347.2,359.9,344.9,355.5,355.64977429769937,359.9,344.9,351.875,RED,GREEN
2025-09-04 09:41:00+05:30,355.5,359.55,350.45,355.45,353.7623871488497,359.55,350.45,355.2375,GREEN,DOJI
2025-09-04 09:42:00+05:30,355.45,356.25,338.55,338.55,354.49994357442483,356.25,338.55,347.2,RED,RED
2025-09-04 09:43:00+05:30,338.55,345.0,333.9,343.95,350.84997178721244,350.84997178721244,333.9,340.34999999999997,RED,GREEN
2025-09-04 09:44:00+05:30,343.6,343.85,332.55,332.55,345.59998589360623,345.59998589360623,332.55,338.1375,RED,RED
2025-09-04 09:45:00+05:30,332.55,342.75,328.5,338.55,341.8687429468031,342.75,328.5,335.5875,RED,GREEN
2025-09-04 09:46:00+05:30,338.55,345.0,335.95,341.55,338.72812147340153,345.0,335.95,340.2625,GREEN,GREEN
2025-09-04 09:47:00+05:30,341.55,354.45,338.2,351.6,339.49531073670073,354.45,338.2,346.45000000000005,GREEN,GREEN
2025-09-04 09:48:00+05:30,351.6,354.65,340.0,345.4,342.9726553683504,354.65,340.0,347.9125,GREEN,RED
2025-09-04 09:49:00+05:30,345.4,358.0,343.7,354.4,345.4425776841752,358.0,343.7,350.375,GREEN,GREEN
2025-09-04 09:50:00+05:30,354.4,359.75,352.55,356.45,347.9087888420876,359.75,347.9087888420876,355.7875,GREEN,GREEN
2025-09-04 09:51:00+05:30,356.45,357.75,348.0,349.65,351.8481444210438,357.75,348.0,352.9625,GREEN,RED
2025-09-04 09:52:00+05:30,349.65,356.2,345.5,352.0,352.4053222105219,356.2,345.5,350.8375,RED,GREEN
2025-09-04 09:53:00+05:30,350.0,357.85,348.0,355.15,351.6214111052609,357.85,348.0,352.75,GREEN,GREEN
2025-09-04 09:54:00+05:30,355.15,359.55,353.0,358.1,352.18570555263045,359.55,352.18570555263045,356.45000000000005,GREEN,GREEN
2025-09-04 09:55:00+05:30,358.1,360.0,352.4,354.65,354.31785277631525,360.0,352.4,356.2875,GREEN,RED
2025-09-04 09:56:00+05:30,355.55,359.0,352.85,352.85,355.30267638815764,359.0,352.85,355.0625,RED,RED
2025-09-04 09:57:00+05:30,352.85,357.0,351.1,354.2,355.1825881940788,357.0,351.1,353.7875,RED,GREEN
2025-09-04 09:58:00+05:30,354.2,356.9,352.65,354.15,354.4850440970394,356.9,352.65,354.475,DOJI,DOJI
2025-09-04 09:59:00+05:30,353.0,358.0,347.0,347.05,354.4800220485197,358.0,347.0,351.2625,RED,RED
2025-09-04 10:00:00+05:30,347.55,357.1,347.55,356.35,352.87126102425987,357.1,347.55,352.13750000000005,RED,GREEN
2025-09-04 10:01:00+05:30,356.35,358.6,346.35,347.05,352.50438051212996,358.6,346.35,352.08750000000003,RED,RED
2025-09-04 10:02:00+05:30,347.05,351.0,342.4,344.9,352.295940256065,352.295940256065,342.4,346.3375,RED,RED
2025-09-04 10:03:00+05:30,344.9,350.5,343.95,347.95,349.3167201280325,350.5,343.95,346.825,RED,GREEN
2025-09-04 10:04:00+05:30,347.95,348.0,341.05,345.85,348.07086006401624,348.07086006401624,341.05,345.7125,RED,RED
2025-09-04 10:05:00+05:30,345.85,346.15,339.25,342.0,346.89168003200814,346.89168003200814,339.25,343.3125,RED,RED
2025-09-04 10:06:00+05:30,342.0,345.0,338.65,339.3,345.10209001600407,345.10209001600407,338.65,341.2375,RED,RED
2025-09-04 10:07:00+05:30,339.3,340.75,335.4,335.4,343.16979500800204,343.16979500800204,335.4,337.7125,RED,RED
2025-09-04 10:08:00+05:30,335.4,340.05,332.95,332.95,340.44114750400104,340.44114750400104,332.95,335.33750000000003,RED,RED
2025-09-04 10:09:00+05:30,332.95,335.4,315.1,315.1,337.88932375200056,337.88932375200056,315.1,324.6375,RED,RED
2025-09-04 10:10:00+05:30,315.1,320.95,307.9,317.0,331.2634118760003,331.2634118760003,307.9,315.23749999999995,RED,GREEN
2025-09-04 10:11:00+05:30,317.0,323.4,309.55,309.55,323.25045593800013,323.4,309.55,314.875,RED,RED
2025-09-04 10:12:00+05:30,309.55,312.85,297.1,298.0,319.0627279690001,319.0627279690001,297.1,304.375,RED,RED
2025-09-04 10:13:00+05:30,298.0,298.0,288.65,288.65,311.71886398450005,311.71886398450005,288.65,293.325,RED,RED
2025-09-04 10:14:00+05:30,288.65,292.4,284.15,284.15,302.52193199225,302.52193199225,284.15,287.3375,RED,RED
2025-09-04 10:15:00+05:30,284.15,290.7,280.5,290.7,294.92971599612497,294.92971599612497,280.5,286.5125,RED,GREEN
2025-09-04 10:16:00+05:30,291.2,299.0,285.6,298.3,290.7211079980625,299.0,285.6,293.52500000000003,GREEN,GREEN
2025-09-04 10:17:00+05:30,298.3,298.6,287.9,294.7,292.1230539990313,298.6,287.9,294.875,GREEN,RED
2025-09-04 10:18:00+05:30,294.7,297.0,289.1,296.7,293.49902699951565,297.0,289.1,294.375,GREEN,GREEN
2025-09-04 10:19:00+05:30,298.0,305.35,295.25,305.35,293.9370134997578,305.35,293.9370134997578,300.9875,GREEN,GREEN
2025-09-04 10:20:00+05:30,304.2,306.5,300.0,303.0,297.4622567498789,306.5,297.4622567498789,303.425,GREEN,RED
2025-09-04 10:21:00+05:30,303.0,316.7,303.0,313.45,300.44362837493946,316.7,300.44362837493946,309.0375,GREEN,GREEN
2025-09-04 10:22:00+05:30,313.45,316.65,307.05,310.35,304.7405641874698,316.65,304.7405641874698,311.875,GREEN,RED
