time,last_price,volume,oi
2025-09-04 12:10:38.672263+05:30,150.0,,1904025
2025-09-04 12:10:39.134716+05:30,149.7,,1904025
2025-09-04 12:10:39.402961+05:30,150.55,,1904025
2025-09-04 12:10:40.131924+05:30,150.4,,1904025
2025-09-04 12:10:40.436963+05:30,150.65,,1904025
2025-09-04 12:10:41.125613+05:30,150.8,,1904025
2025-09-04 12:10:41.319172+05:30,150.7,,1904025
2025-09-04 12:10:41.613596+05:30,150.75,,1904025
2025-09-04 12:10:41.821780+05:30,150.2,,1904025
2025-09-04 12:10:42.391023+05:30,149.8,,1904025
2025-09-04 12:10:43.172089+05:30,150.15,,1904025
2025-09-04 12:10:43.567228+05:30,150.9,,1904025
2025-09-04 12:10:44.077277+05:30,150.9,,1904025
2025-09-04 12:10:44.382584+05:30,150.25,,1904025
2025-09-04 12:10:45.098550+05:30,149.8,,1904025
2025-09-04 12:10:45.390392+05:30,149.4,,1904025
2025-09-04 12:10:46.118803+05:30,149.4,,1904025
2025-09-04 12:10:46.415290+05:30,149.4,,1904025
2025-09-04 12:10:46.588255+05:30,149.45,,1904025
2025-09-04 12:10:47.117691+05:30,149.65,,1904025
2025-09-04 12:10:47.419225+05:30,150.95,,1904025
2025-09-04 12:10:48.071823+05:30,150.6,,1904025
2025-09-04 12:10:48.405299+05:30,151.1,,1904025
2025-09-04 12:10:48.821637+05:30,150.65,,1904025
2025-09-04 12:10:49.567907+05:30,150.35,,1904025
2025-09-04 12:10:50.090469+05:30,150.4,,1904025
2025-09-04 12:10:50.648965+05:30,150.55,,1904025
2025-09-04 12:10:51.076645+05:30,150.55,,1904025
2025-09-04 12:10:51.345539+05:30,150.4,,1904025
2025-09-04 12:10:51.576241+05:30,150.4,,1904025
2025-09-04 12:10:52.093515+05:30,150.8,,1904025
2025-09-04 12:10:52.407906+05:30,151.0,,1904025
2025-09-04 12:10:53.126731+05:30,151.1,,1904025
2025-09-04 12:10:53.389801+05:30,151.55,,1904025
2025-09-04 12:10:53.613249+05:30,151.4,,1904025
2025-09-04 12:10:54.139463+05:30,151.4,,1904025
2025-09-04 12:10:54.347351+05:30,152.1,,1904025
2025-09-04 12:10:54.821359+05:30,152.15,,1904025
2025-09-04 12:10:55.118297+05:30,152.0,,1904025
2025-09-04 12:10:55.612963+05:30,152.35,,1904025
2025-09-04 12:10:56.122810+05:30,152.4,,1904025
2025-09-04 12:10:56.321359+05:30,152.45,,1904025
2025-09-04 12:10:56.571386+05:30,152.55,,1904025
2025-09-04 12:10:56.839565+05:30,152.3,,1904025
2025-09-04 12:10:57.623840+05:30,152.3,,1904025
2025-09-04 12:10:58.132485+05:30,152.25,,1904025
2025-09-04 12:10:58.412482+05:30,152.4,,1904025
2025-09-04 12:10:59.164615+05:30,152.7,,1904025
2025-09-04 12:10:59.612411+05:30,153.15,,1904025
2025-09-04 12:10:59.821381+05:30,153.6,,1904025
2025-09-04 12:11:00.071115+05:30,153.6,,1904025
2025-09-04 12:11:00.647839+05:30,153.5,,1904025
2025-09-04 12:11:01.098460+05:30,153.45,,1904025
2025-09-04 12:11:01.571893+05:30,154.05,,1904025
2025-09-04 12:11:01.821335+05:30,154.15,,1904025
2025-09-04 12:11:02.627503+05:30,152.65,,1904025
2025-09-04 12:11:03.120339+05:30,152.55,,1904025
2025-09-04 12:11:03.428101+05:30,153.65,,1904025
2025-09-04 12:11:04.141163+05:30,153.6,,1904025
2025-09-04 12:11:04.569426+05:30,153.7,,1904025
2025-09-04 12:11:04.884922+05:30,153.4,,1904025
2025-09-04 12:11:05.630307+05:30,153.45,,1904025
2025-09-04 12:11:06.188978+05:30,153.2,,1904025
2025-09-04 12:11:06.677832+05:30,153.1,,1904025
2025-09-04 12:11:07.071479+05:30,153.15,,1904025
2025-09-04 12:11:07.604537+05:30,153.4,,1904025
2025-09-04 12:11:08.122873+05:30,153.55,,1904025
2025-09-04 12:11:08.643178+05:30,153.6,,1904025
2025-09-04 12:11:09.188097+05:30,153.45,,1904025
2025-09-04 12:11:09.604005+05:30,152.65,,1904025
2025-09-04 12:11:09.902948+05:30,153.2,,1904025
2025-09-04 12:11:10.629702+05:30,154.05,,1904025
2025-09-04 12:11:11.070908+05:30,154.05,,1904025
2025-09-04 12:11:11.657510+05:30,154.5,,1904025
2025-09-04 12:11:12.141740+05:30,153.0,,1904025
2025-09-04 12:11:12.575901+05:30,152.5,,1904025
2025-09-04 12:11:13.070750+05:30,152.5,,1904025
2025-09-04 12:11:13.351219+05:30,152.5,,1904025
2025-09-04 12:11:13.576877+05:30,152.5,,1904025
2025-09-04 12:11:14.181556+05:30,152.7,,1904025
2025-09-04 12:11:14.622369+05:30,152.2,,1904025
2025-09-04 12:11:14.833251+05:30,152.7,,1904025
2025-09-04 12:11:15.570663+05:30,152.4,,1904025
2025-09-04 12:11:16.170308+05:30,152.5,,1904025
2025-09-04 12:11:16.361843+05:30,152.2,,1904025
2025-09-04 12:11:16.610060+05:30,152.2,,1904025
2025-09-04 12:11:17.092970+05:30,152.25,,1904025
2025-09-04 12:11:17.622929+05:30,152.2,,1904025
2025-09-04 12:11:18.075887+05:30,152.05,,1904025
2025-09-04 12:11:18.586698+05:30,152.2,,1904025
2025-09-04 12:11:19.190629+05:30,152.1,,1904025
2025-09-04 12:11:19.597175+05:30,152.35,,1904025
2025-09-04 12:11:19.852335+05:30,152.35,,1904025
2025-09-04 12:11:20.116628+05:30,152.3,,1904025
2025-09-04 12:11:20.620806+05:30,151.7,,1904025
2025-09-04 12:11:21.098537+05:30,151.7,,1904025
2025-09-04 12:11:21.412653+05:30,151.4,,1904025
2025-09-04 12:11:21.570525+05:30,151.4,,1904025
2025-09-04 12:11:22.107239+05:30,151.4,,1904025
2025-09-04 12:11:22.614012+05:30,151.55,,1904025
2025-09-04 12:11:23.142820+05:30,151.55,,1904025
2025-09-04 12:11:23.316472+05:30,151.55,,1904025
2025-09-04 12:11:23.586001+05:30,151.3,,1904025
2025-09-04 12:11:24.170098+05:30,151.3,,1904025
2025-09-04 12:11:24.581069+05:30,151.55,,1904025
2025-09-04 12:11:24.826126+05:30,152.1,,1904025
2025-09-04 12:11:25.069151+05:30,152.1,,1904025
2025-09-04 12:11:25.634819+05:30,150.85,,1904025
2025-09-04 12:11:26.175962+05:30,151.1,,1904025
2025-09-04 12:11:26.658481+05:30,150.8,,1904025
2025-09-04 12:11:27.070602+05:30,150.8,,1904025
2025-09-04 12:11:27.565613+05:30,150.75,,1904025
2025-09-04 12:11:27.854429+05:30,150.6,,1904025
2025-09-04 12:11:28.070587+05:30,150.8,,1904025
2025-09-04 12:11:28.605185+05:30,150.8,,1904025
2025-09-04 12:11:29.070537+05:30,150.8,,1904025
2025-09-04 12:11:29.623794+05:30,151.0,,1904025
2025-09-04 12:11:29.820951+05:30,151.55,,1904025
2025-09-04 12:11:30.074189+05:30,151.55,,1904025
2025-09-04 12:11:30.636095+05:30,152.1,,1904025
2025-09-04 12:11:31.110128+05:30,152.1,,1904025
2025-09-04 12:11:31.336538+05:30,151.75,,1904025
2025-09-04 12:11:31.567223+05:30,151.75,,1904025
2025-09-04 12:11:32.156016+05:30,152.25,,1904025
2025-09-04 12:11:32.570615+05:30,152.05,,1904025
2025-09-04 12:11:32.820300+05:30,152.15,,1904025
2025-09-04 12:11:33.320508+05:30,152.15,,1904025
2025-09-04 12:11:33.574720+05:30,152.35,,1904025
2025-09-04 12:11:34.166692+05:30,152.05,,1904025
2025-09-04 12:11:34.317339+05:30,152.05,,1904025
2025-09-04 12:11:34.825414+05:30,151.45,,1904025
2025-09-04 12:11:35.639168+05:30,151.85,,1904025
2025-09-04 12:11:36.111583+05:30,151.75,,1904025
2025-09-04 12:11:36.660152+05:30,151.75,,1904025
2025-09-04 12:11:37.070379+05:30,151.75,,1904025
2025-09-04 12:11:37.570274+05:30,151.6,,1904025
2025-09-04 12:11:38.070396+05:30,151.6,,1904025
2025-09-04 12:11:38.479826+05:30,151.6,,1904025
2025-09-04 12:11:39.153887+05:30,151.0,,1904025
2025-09-04 12:11:39.325427+05:30,151.1,,1904025
2025-09-04 12:11:39.821021+05:30,151.05,,1904025
2025-09-04 12:11:40.670732+05:30,149.9,,1904025
2025-09-04 12:11:41.070271+05:30,149.95,,1904025
2025-09-04 12:11:41.431458+05:30,150.45,,1904025
2025-09-04 12:11:42.067396+05:30,150.8,,1904025
2025-09-04 12:11:42.607147+05:30,150.5,,1904025
2025-09-04 12:11:43.163722+05:30,150.5,,1904025
2025-09-04 12:11:43.325400+05:30,150.5,,1904025
2025-09-04 12:11:43.631165+05:30,151.2,,1904025
2025-09-04 12:11:44.161929+05:30,151.1,,1904025
2025-09-04 12:11:44.406757+05:30,151.05,,1904025
2025-09-04 12:11:44.580287+05:30,151.2,,1904025
2025-09-04 12:11:45.075295+05:30,150.3,,1904025
2025-09-04 12:11:45.634814+05:30,150.7,,1904025
2025-09-04 12:11:45.866717+05:30,150.65,,1904025
2025-09-04 12:11:46.615947+05:30,150.65,,1904025
2025-09-04 12:11:47.130000+05:30,151.0,,1904025
2025-09-04 12:11:47.651876+05:30,150.3,,1904025
2025-09-04 12:11:48.085181+05:30,150.5,,1904025
2025-09-04 12:11:48.619110+05:30,151.45,,1904025
2025-09-04 12:11:49.171916+05:30,150.8,,1904025
2025-09-04 12:11:49.373091+05:30,150.65,,1904025
