time,open,high,low,close
2025-09-05 10:55:00+05:30,24676.55,24680.05,24670.25,24670.65
2025-09-05 10:56:00+05:30,24670.95,24672.75,24663.75,24672.45
2025-09-05 10:57:00+05:30,24672.85,24683.45,24669.7,24682.15
2025-09-05 10:58:00+05:30,24682.75,24685.05,24677.7,24680.45
2025-09-05 10:59:00+05:30,24680.7,24684.6,24680.0,24682.55
2025-09-05 11:00:00+05:30,24681.55,24688.2,24680.2,24683.45
2025-09-05 11:01:00+05:30,24684.6,24687.1,24682.65,24686.1
2025-09-05 11:02:00+05:30,24686.1,24688.15,24681.6,24682.45
2025-09-05 11:03:00+05:30,24682.85,24682.95,24676.8,24677.0
2025-09-05 11:04:00+05:30,24676.95,24697.55,24676.95,24697.35
2025-09-05 11:05:00+05:30,24696.8,24698.55,24690.05,24690.1
2025-09-05 11:06:00+05:30,24690.1,24692.35,24688.75,24691.45
2025-09-05 11:07:00+05:30,24690.8,24694.0,24690.1,24691.55
2025-09-05 11:08:00+05:30,24691.15,24691.4,24681.55,24687.15
2025-09-05 11:09:00+05:30,24687.1,24689.15,24680.6,24681.15
2025-09-05 11:10:00+05:30,24681.65,24683.25,24677.25,24682.65
2025-09-05 11:11:00+05:30,24682.35,24685.85,24681.55,24685.25
2025-09-05 11:12:00+05:30,24685.2,24697.55,24684.7,24695.3
2025-09-05 11:13:00+05:30,24694.65,24696.45,24692.75,24692.85
2025-09-05 11:14:00+05:30,24692.8,24694.8,24691.55,24691.9
2025-09-05 11:15:00+05:30,24691.8,24691.95,24681.5,24682.2
2025-09-05 11:16:00+05:30,24682.45,24687.75,24682.4,24683.35
2025-09-05 11:17:00+05:30,24683.2,24683.4,24677.65,24679.95
2025-09-05 11:18:00+05:30,24679.15,24681.5,24676.05,24680.25
2025-09-05 11:19:00+05:30,24680.4,24689.3,24679.3,24689.3
2025-09-05 11:20:00+05:30,24689.0,24695.2,24687.5,24693.55
2025-09-05 11:21:00+05:30,24693.45,24696.35,24691.95,24694.3
2025-09-05 11:22:00+05:30,24694.8,24695.65,24693.1,24694.0
2025-09-05 11:23:00+05:30,24693.55,24693.55,24685.5,24685.8
2025-09-05 11:24:00+05:30,24685.4,24685.7,24681.6,24683.8
2025-09-05 11:25:00+05:30,24682.95,24684.2,24681.0,24682.35
2025-09-05 11:26:00+05:30,24683.15,24690.95,24681.45,24688.6
2025-09-05 11:27:00+05:30,24688.45,24693.7,24686.8,24692.85
2025-09-05 11:28:00+05:30,24692.2,24696.4,24687.4,24689.2
2025-09-05 11:29:00+05:30,24689.05,24697.65,24688.5,24696.6
2025-09-05 11:30:00+05:30,24696.2,24705.45,24695.55,24696.5
2025-09-05 11:31:00+05:30,24697.45,24705.75,24692.85,24702.05
2025-09-05 11:32:00+05:30,24701.5,24706.25,24700.05,24703.4
2025-09-05 11:33:00+05:30,24703.6,24708.3,24701.55,24701.95
2025-09-05 11:34:00+05:30,24701.95,24701.95,24694.4,24694.8
2025-09-05 11:35:00+05:30,24695.1,24695.3,24691.9,24693.75
2025-09-05 11:36:00+05:30,24693.7,24701.75,24689.35,24701.45
2025-09-05 11:37:00+05:30,24701.6,24706.4,24701.45,24702.95
2025-09-05 11:38:00+05:30,24702.95,24703.35,24699.75,24700.25
2025-09-05 11:39:00+05:30,24700.25,24701.1,24694.1,24694.6
2025-09-05 11:40:00+05:30,24694.25,24695.25,24692.5,24695.25
2025-09-05 11:41:00+05:30,24695.95,24696.05,24687.85,24687.85
2025-09-05 11:42:00+05:30,24687.7,24688.6,24682.6,24682.6
2025-09-05 11:43:00+05:30,24681.25,24681.45,24676.95,24677.4
2025-09-05 11:44:00+05:30,24677.85,24679.25,24675.1,24677.05
2025-09-05 11:45:00+05:30,24677.35,24677.8,24672.8,24674.7
2025-09-05 11:46:00+05:30,24674.6,24674.65,24668.1,24668.65
2025-09-05 11:47:00+05:30,24668.35,24677.95,24667.4,24674.3
2025-09-05 11:48:00+05:30,24674.9,24675.05,24665.55,24668.55
2025-09-05 11:49:00+05:30,24669.2,24669.4,24661.4,24665.35
2025-09-05 11:50:00+05:30,24665.05,24669.1,24662.0,24668.35
2025-09-05 11:51:00+05:30,24668.1,24674.25,24665.55,24667.35
2025-09-05 11:52:00+05:30,24667.25,24669.75,24665.75,24668.25
2025-09-05 11:53:00+05:30,24668.2,24670.5,24667.45,24668.5
2025-09-05 11:54:00+05:30,24668.3,24669.1,24664.8,24666.25
2025-09-05 11:55:00+05:30,24666.6,24669.2,24664.65,24666.15
2025-09-05 11:56:00+05:30,24666.5,24667.2,24659.2,24659.85
2025-09-05 11:57:00+05:30,24661.1,24662.5,24657.7,24659.05
2025-09-05 11:58:00+05:30,24659.1,24661.6,24658.6,24660.7
2025-09-05 11:59:00+05:30,24660.8,24667.7,24659.75,24667.2
2025-09-05 12:00:00+05:30,24668.05,24668.5,24659.25,24659.4
2025-09-05 12:01:00+05:30,24659.4,24660.5,24654.0,24658.1
2025-09-05 12:02:00+05:30,24657.75,24660.65,24654.65,24656.1
2025-09-05 12:03:00+05:30,24656.05,24660.5,24655.75,24659.75
2025-09-05 12:04:00+05:30,24659.8,24663.75,24659.2,24659.45
2025-09-05 12:05:00+05:30,24659.85,24666.25,24658.5,24665.05
2025-09-05 12:06:00+05:30,24665.45,24666.55,24664.0,24666.1
2025-09-05 12:07:00+05:30,24666.35,24668.45,24661.3,24661.85
2025-09-05 12:08:00+05:30,24662.0,24669.2,24661.45,24666.65
2025-09-05 12:09:00+05:30,24666.5,24673.0,24666.5,24670.8
2025-09-05 12:10:00+05:30,24669.95,24671.25,24666.05,24666.4
2025-09-05 12:11:00+05:30,24666.5,24669.85,24666.5,24668.9
2025-09-05 12:12:00+05:30,24668.85,24669.6,24664.75,24665.65
2025-09-05 12:13:00+05:30,24665.1,24666.45,24661.7,24661.7
2025-09-05 12:14:00+05:30,24661.4,24661.75,24651.65,24652.05
2025-09-05 12:15:00+05:30,24651.75,24652.1,24648.2,24651.6
2025-09-05 12:16:00+05:30,24651.75,24655.8,24650.55,24651.75
2025-09-05 12:17:00+05:30,24651.4,24654.4,24642.3,24644.4
2025-09-05 12:18:00+05:30,24644.05,24647.85,24643.0,24644.15
2025-09-05 12:19:00+05:30,24644.5,24647.2,24643.85,24646.1
2025-09-05 12:20:00+05:30,24645.7,24652.05,24645.4,24650.65
2025-09-05 12:21:00+05:30,24650.75,24660.35,24650.05,24658.9
2025-09-05 12:22:00+05:30,24658.8,24662.3,24657.95,24660.25
2025-09-05 12:23:00+05:30,24660.85,24662.95,24657.65,24658.55
2025-09-05 12:24:00+05:30,24658.45,24659.5,24656.5,24656.5
2025-09-05 12:25:00+05:30,24656.65,24658.9,24656.3,24657.8
2025-09-05 12:26:00+05:30,24658.5,24658.95,24656.35,24656.75
2025-09-05 12:27:00+05:30,24656.8,24658.0,24653.95,24654.55
2025-09-05 12:28:00+05:30,24654.2,24656.85,24653.65,24655.85
2025-09-05 12:29:00+05:30,24656.2,24658.1,24654.9,24656.2
2025-09-05 12:30:00+05:30,24656.95,24663.6,24656.1,24663.6
2025-09-05 12:31:00+05:30,24664.35,24664.9,24656.05,24656.05
2025-09-05 12:32:00+05:30,24655.9,24657.25,24648.7,24650.15
2025-09-05 12:33:00+05:30,24649.05,24650.35,24642.6,24643.8
2025-09-05 12:34:00+05:30,24643.7,24644.15,24633.65,24634.4
2025-09-05 12:35:00+05:30,24635.45,24635.45,24627.2,24627.3
2025-09-05 12:36:00+05:30,24628.65,24634.25,24627.3,24632.3
2025-09-05 12:37:00+05:30,24632.4,24634.4,24630.9,24633.4
2025-09-05 12:38:00+05:30,24633.55,24637.1,24632.35,24632.5
2025-09-05 12:39:00+05:30,24632.7,24640.65,24632.4,24639.7
2025-09-05 12:40:00+05:30,24639.75,24643.95,24639.55,24643.15
2025-09-05 12:41:00+05:30,24643.5,24643.8,24635.8,24635.8
2025-09-05 12:42:00+05:30,24636.55,24636.85,24633.8,24636.6
2025-09-05 12:43:00+05:30,24636.5,24640.3,24635.45,24635.65
2025-09-05 12:44:00+05:30,24636.15,24639.05,24635.65,24637.6
2025-09-05 12:45:00+05:30,24638.5,24639.3,24635.1,24635.1
2025-09-05 12:46:00+05:30,24635.6,24635.6,24623.55,24632.6
2025-09-05 12:47:00+05:30,24633.2,24635.05,24626.1,24628.65
2025-09-05 12:48:00+05:30,24630.15,24634.55,24628.55,24632.3
2025-09-05 12:49:00+05:30,24632.75,24633.75,24627.9,24627.9
2025-09-05 12:50:00+05:30,24628.25,24629.9,24626.65,24627.7
2025-09-05 12:51:00+05:30,24627.9,24631.4,24626.0,24629.25
