time,ha_open,ha_high,ha_low,ha_close,ha_color
2025-09-05 09:15:00+05:30,85.975,96.0,73.9,85.46249999999999,RED
2025-09-05 09:16:00+05:30,85.71875,85.71875,69.55,75.4625,RED
2025-09-05 09:17:00+05:30,80.590625,82.9,74.7,77.5625,RED
2025-09-05 09:18:00+05:30,79.0765625,79.0765625,68.65,72.0375,RED
2025-09-05 09:19:00+05:30,75.55703125,75.55703125,65.0,68.325,RED
2025-09-05 09:20:00+05:30,71.941015625,71.941015625,64.7,66.125,RED
2025-09-05 09:21:00+05:30,69.0330078125,69.0330078125,62.65,64.275,RED
2025-09-05 09:22:00+05:30,66.65400390625001,69.8,62.35,65.925,RED
2025-09-05 09:23:00+05:30,66.28950195312501,82.2,66.28950195312501,74.5875,GREEN
2025-09-05 09:24:00+05:30,70.43850097656251,83.45,70.43850097656251,80.225,GREEN
2025-09-05 09:25:00+05:30,75.33175048828124,81.7,74.05,78.41250000000001,GREEN
2025-09-05 09:26:00+05:30,76.87212524414062,87.2,76.87212524414062,82.125,GREEN
2025-09-05 09:27:00+05:30,79.49856262207031,84.7,77.85,82.0375,GREEN
2025-09-05 09:28:00+05:30,80.76803131103514,86.3,78.5,81.625,GREEN
2025-09-05 09:29:00+05:30,81.19651565551757,85.9,77.85,81.3875,GREEN
2025-09-05 09:30:00+05:30,81.2920078277588,82.3,75.65,79.65,RED
2025-09-05 09:31:00+05:30,80.4710039138794,80.4710039138794,72.95,76.025,RED
2025-09-05 09:32:00+05:30,78.2480019569397,78.2480019569397,71.45,73.9125,RED
2025-09-05 09:33:00+05:30,76.08025097846985,76.08025097846985,71.25,73.1125,RED
2025-09-05 09:34:00+05:30,74.59637548923493,74.59637548923493,66.7,69.25,RED
2025-09-05 09:35:00+05:30,71.92318774461747,81.4,67.4,74.45,GREEN
2025-09-05 09:36:00+05:30,73.18659387230873,84.5,73.18659387230873,80.8,GREEN
2025-09-05 09:37:00+05:30,76.99329693615437,84.45,76.99329693615437,79.775,GREEN
2025-09-05 09:38:00+05:30,78.38414846807719,82.9,78.15,80.4125,GREEN
2025-09-05 09:39:00+05:30,79.3983242340386,84.95,79.3983242340386,82.8625,GREEN
2025-09-05 09:40:00+05:30,81.13041211701929,85.4,81.13041211701929,82.91250000000001,GREEN
2025-09-05 09:41:00+05:30,82.02145605850964,83.95,80.8,82.2625,GREEN
2025-09-05 09:42:00+05:30,82.14197802925483,84.55,80.5,82.025,RED
2025-09-05 09:43:00+05:30,82.08348901462742,82.5,78.85,80.65,RED
2025-09-05 09:44:00+05:30,81.36674450731371,84.65,80.15,81.875,GREEN
2025-09-05 09:45:00+05:30,81.62087225365686,84.4,81.62087225365686,82.9125,GREEN
2025-09-05 09:46:00+05:30,82.26668612682843,86.05,76.3,80.5,RED
2025-09-05 09:47:00+05:30,81.38334306341422,81.38334306341422,72.4,77.42500000000001,RED
2025-09-05 09:48:00+05:30,79.4041715317071,85.0,78.65,81.4875,GREEN
2025-09-05 09:49:00+05:30,80.44583576585356,82.55,75.25,79.0,RED
2025-09-05 09:50:00+05:30,79.72291788292678,79.72291788292678,74.35,75.475,RED
2025-09-05 09:51:00+05:30,77.5989589414634,79.1,73.0,75.075,RED
2025-09-05 09:52:00+05:30,76.3369794707317,76.3369794707317,71.05,72.75,RED
2025-09-05 09:53:00+05:30,74.54348973536585,74.54348973536585,72.1,73.1,RED
2025-09-05 09:54:00+05:30,73.82174486768292,73.82174486768292,70.35,72.0125,RED
2025-09-05 09:55:00+05:30,72.91712243384146,73.75,72.05,72.8375,RED
2025-09-05 09:56:00+05:30,72.87731121692073,75.65,72.45,73.9,GREEN
2025-09-05 09:57:00+05:30,73.38865560846037,78.15,73.38865560846037,75.7,GREEN
2025-09-05 09:58:00+05:30,74.54432780423019,83.75,74.54432780423019,80.6,GREEN
2025-09-05 09:59:00+05:30,77.5721639021151,84.0,77.5721639021151,80.7875,GREEN
2025-09-05 10:00:00+05:30,79.17983195105754,80.5,75.35,77.5625,RED
2025-09-05 10:01:00+05:30,78.37116597552877,78.37116597552877,71.95,74.48749999999998,RED
2025-09-05 10:02:00+05:30,76.42933298776438,79.85,72.9,76.125,RED
