date,open,high,low,close,volume
2025-09-03 12:31:42+05:30,24637.95,24640.75,24637.45,24638.15,0
2025-09-03 12:32:11+05:30,24639.3,24640.75,24637.9,24639.75,0
2025-09-03 12:33:11+05:30,24639.25,24641.15,24637.95,24640.6,0
